PT,uitkomstcode,redenering,gekozen_pt,evmv_npts
(Kwaliteits)bibliotheek,1,Geen gekoppelde evmv NPT's,,[]
113,1,Geen gekoppelde evmv NPT's,,[]
18p-deletie,1,Geen gekoppelde evmv NPT's,,[]
24 uursbereikbaarheid,1,Geen gekoppelde evmv NPT's,,[]
24 uurskinderopvang,1,Geen gekoppelde evmv NPT's,,[]
24 uurszorg,1,Geen gekoppelde evmv NPT's,,[]
360 gradenfeedback,1,Geen gekoppelde evmv NPT's,,[]
360 gradenview (IGJ),1,Geen gekoppelde evmv NPT's,,[]
3-MCC-deficiëntie,1,Geen gekoppelde evmv NPT's,,[]
3-MMC,1,Geen gekoppelde evmv NPT's,,[]
4-FA,1,Geen gekoppelde evmv NPT's,,[]
4-MMC,1,Geen gekoppelde evmv NPT's,,[]
56 wijkenaanpak,1,Geen gekoppelde evmv NPT's,,[]
3D-printen,3,‘Printen’ is een werkwoordsvorm (infinitief); het is geen zelfstandig naamwoord.,,[]
13 wekenecho,4,"'Wekenecho' is enkelvoud, het gaat om één echo.",,[]
14+netnummer,4,"'Netnummer' is enkelvoud, het betreft één netnummer.",,[]
20 wekenecho,4,"'Wekenecho' is enkelvoud, het gaat om één echo.",,[]
22 wekenprik,4,"'Wekenprik' is enkelvoud, het betreft één prikmoment.",,[]
10-14-scholen,7,"De kandidaat '10-14-school' is vrijwel identiek aan de PT '10-14-scholen', met als enige verschil het enkelvoud tegenover het meervoud. Dit is een directe en zekere match.",10-14-school,['10-14-school']
24 uursvoorzieningen,7,"De kandidaat '24 uursvoorziening' is vrijwel identiek aan de PT '24 uursvoorzieningen', met als enige verschil het enkelvoud tegenover het meervoud. Dit is een directe en zekere match.",24 uursvoorziening,['24 uursvoorziening']
AA,1,Geen gekoppelde evmv NPT's,,[]
AAL,1,Geen gekoppelde evmv NPT's,,[]
aandacht,1,Geen gekoppelde evmv NPT's,,[]
aandrang,1,Geen gekoppelde evmv NPT's,,[]
aandrangincontinentie,1,Geen gekoppelde evmv NPT's,,[]
aangeboren,1,Geen gekoppelde evmv NPT's,,[]
6:19-besluit,4,Het woord 'besluit' is enkelvoud.,,[]
7s-model,4,Het woord 'model' is enkelvoud.,,[]
8 fasenmodel,4,Het woord 'fasenmodel' is enkelvoud.,,[]
9p-deletie,4,Het woord 'deletie' is enkelvoud.,,[]
aambeeld,4,Het woord 'aambeeld' is enkelvoud.,,[]
aanbesteding,4,Het woord 'aanbesteding' is enkelvoud.,,[]
aanbodregulering,4,Het woord 'aanbodregulering' is enkelvoud.,,[]
aanbodsturing,4,Het woord 'aanbodsturing' is enkelvoud.,,[]
6q-deleties,7,De kandidaat '6q-deletie' is de enkelvoudsvorm van de PT '6q-deleties' en komt exact overeen op betekenis en vorm.,6q-deletie,['6q-deletie']
A1-ritten,7,De kandidaat 'A1-rit' is de enkelvoudsvorm van de PT 'A1-ritten' en komt exact overeen op betekenis en vorm.,A1-rit,['A1-rit']
A2-ritten,7,De kandidaat 'A2-rit' is de enkelvoudsvorm van de PT 'A2-ritten' en komt exact overeen op betekenis en vorm.,A2-rit,['A2-rit']
aambeien,7,De kandidaat 'aambei' is de enkelvoudsvorm van de PT 'aambeien' en komt exact overeen op betekenis en vorm.,aambei,['aambei']
aandachtsfunctionarissen kindermishandeling,7,De kandidaat 'aandachtsfunctionaris kindermishandeling' is de enkelvoudsvorm van de PT en de betekenis is identiek.,aandachtsfunctionaris kindermishandeling,['aandachtsfunctionaris kindermishandeling']
aandoeningen van het bewegingsapparaat,7,"De kandidaat 'aandoening van het bewegingsapparaat' is de enkelvoudsvorm van de PT en de betekenis is identiek. De andere kandidaten zijn minder gelijkend vanwege de toevoeging van 'botten, spieren of pezen'.",aandoening van het bewegingsapparaat,"['aandoening van botten spieren of pezen', 'aandoening van botten, spieren of pezen', 'aandoening van het bewegingsapparaat']"
aangeboren hersenletsel,1,Geen gekoppelde evmv NPT's,,[]
aangepast gedrag,1,Geen gekoppelde evmv NPT's,,[]
aangepast sanitair,1,Geen gekoppelde evmv NPT's,,[]
aangepast speelgoed,1,Geen gekoppelde evmv NPT's,,[]
aangepaste computerapparatuur,1,Geen gekoppelde evmv NPT's,,[]
aangepaste kleding,1,Geen gekoppelde evmv NPT's,,[]
aangepast lezen,3,'Lezen' is een werkwoordsvorm (infinitief) en geen zelfstandig naamwoord.,,[]
aangepast meubilair,4,Het woord 'meubilair' is een verzamelnaam en wordt als enkelvoud beschouwd.,,[]
aangepaste bediening,4,Het woord 'bediening' is enkelvoud.,,[]
aangeboren beperkingen in horen en zien,5,"De enige NPT bevat 'beperking', maar de PT is meervoud. De NPT is enkelvoud, dus wordt opgenomen.",,[]
aangeboren aandoeningen,7,De enkelvoudige vorm 'aangeboren aandoening' is de meest directe en letterlijke enkelvoudsvorm van de PT.,aangeboren aandoening,"['aangeboren aandoening', 'aangeboren afwijking', 'aangeboren stoornis', 'aangeboren ziekte']"
aangeboren afwijkingen aan de nieren en urinewegen,7,Deze kandidaat volgt de structuur van de PT het beste en dekt zowel nieren als urinewegen.,aangeboren afwijking aan de nieren of urinewegen,"['aangeboren afwijking aan de nieren of urinewegen', 'aangeboren afwijking aan nier en/of urineweg', 'aangeboren afwijking van de urinewegen']"
aangeboren contracturen,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangeboren contractuur,['aangeboren contractuur']
aangepaste aankleedtafels,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangepaste aankleedtafel,['aangepaste aankleedtafel']
aangepaste auto's,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangepaste auto,['aangepaste auto']
aangepaste autozitjes,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangepast autozitje,['aangepast autozitje']
aangepaste bedden,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangepast bed,['aangepast bed']
aangepaste fietsen,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangepaste fiets,['aangepaste fiets']
aangepaste fietsstoeltjes,7,De enkelvoudige vorm is direct afgeleid van de PT en is correct.,aangepast fietsstoeltje,['aangepast fietsstoeltje']
aangepaste matrassen,7,De vorm 'aangepast matras' is correct enkelvoud en sluit het beste aan bij de PT.,aangepast matras,"['aangepast matras', 'aangepaste matras']"
aangezichtsligging,1,Geen gekoppelde evmv NPT's,,[]
aangezichtspijn,1,Geen gekoppelde evmv NPT's,,[]
aanhoudende lichamelijke klachten,1,Geen gekoppelde evmv NPT's,,[]
aankleden,1,Geen gekoppelde evmv NPT's,,[]
aankomen,1,Geen gekoppelde evmv NPT's,,[]
aankondiging,1,Geen gekoppelde evmv NPT's,,[]
aanleg,1,Geen gekoppelde evmv NPT's,,[]
aangepaste technologie,4,Het woord 'technologie' is enkelvoud.,,[]
aangifte,4,Het woord 'aangifte' is enkelvoud.,,[]
aangepaste speeltuinen,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aangepaste speeltuin,['aangepaste speeltuin']
aangepaste sporten,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aangepaste sport,['aangepaste sport']
aangepaste stoelen,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aangepaste stoel,['aangepaste stoel']
aangepaste vakanties,7,De kandidaatterm is het enkelvoud van de PT en komt exact overeen op betekenis en vorm.,aangepaste vakantie,['aangepaste vakantie']
aangepaste wandelwagens,7,De kandidaatterm 'aangepaste wandelwagen' is het enkelvoud van de PT en komt exact overeen. 'aangepaste buggy' is een ander type hulpmiddel.,aangepaste wandelwagen,"['aangepaste buggy', 'aangepaste wandelwagen']"
